709,93					n	t	R avg	mean	std
709,77	0,000098				102	1	-9,98222E-06	710,95	1,502154342
710,23	-0,000281								
709,73	0,000306								
710,33	-0,000367								
711,85	-0,000928								
712,00	-0,000092								
712,07	-0,000043								
712,53	-0,000280								
712,48	0,000030								
712,76	-0,000171								
712,60	0,000098								
712,13	0,000287								
711,71	0,000256								
712,04	-0,000201								
711,90	0,000085								
712,01	-0,000067								
711,80	0,000128								
711,43	0,000226								
711,27	0,000098								
710,89	0,000232								
710,35	0,000330								
710,72	-0,000226								
710,69	0,000018								
710,30	0,000238								
709,78	0,000318								
709,16	0,000380								
708,95	0,000129								
709,18	-0,000141								
708,61	0,000349								
707,58	0,000632								
706,45	0,000694								
706,65	-0,000123								
706,33	0,000197								
706,77	-0,000270								
707,05	-0,000172								
707,84	-0,000485								
707,96	-0,000074								
707,87	0,000055								
708,38	-0,000313								
708,92	-0,000331								
709,39	-0,000288								
709,47	-0,000049								
710,07	-0,000367								
710,67	-0,000367								
711,21	-0,000330								
711,36	-0,000092								
711,61	-0,000153								
711,19	0,000256								
711,22	-0,000018								
711,17	0,000031								
711,17	0,000000								
711,55	-0,000232								
711,67	-0,000073								
712,28	-0,000372								
712,35	-0,000043								
712,19	0,000098								
711,80	0,000238								
712,18	-0,000232								
712,60	-0,000256								
712,42	0,000110								
711,97	0,000274								
711,88	0,000055								
711,78	0,000061								
711,88	-0,000061								
712,16	-0,000171								
711,90	0,000159								
711,62	0,000171								
711,25	0,000226								
711,64	-0,000238								
711,62	0,000012								
711,73	-0,000067								
711,35	0,000232								
711,67	-0,000195								
711,30	0,000226								
711,61	-0,000189								
711,86	-0,000153								
711,61	0,000153								
711,89	-0,000171								
711,70	0,000116								
711,17	0,000324								
711,27	-0,000061								
711,51	-0,000147								
711,72	-0,000128								
711,41	0,000189								
711,20	0,000128								
711,88	-0,000415								
711,71	0,000104								
711,75	-0,000024								
711,59	0,000098								
711,23	0,000220								
712,08	-0,000519								
711,87	0,000128								
712,17	-0,000183								
712,29	-0,000073								
711,88	0,000250								
711,68	0,000122								
711,56	0,000073								
711,88	-0,000195								
711,32	0,000342								
711,26	0,000037								
711,58	-0,000195								
